t-SNE Coordinate 1,t-SNE Coordinate 2,sigma
-15.2891776928,9.0801580003,2090.890625
21.9663422963,2.1726696824,2228.203125
24.6179850199,1.4743930366,1579.625
-14.2297614175,6.4775922633,1916.609375
20.7689636616,8.3946050002,1797.109375
-1.2722006837,11.6740781484,2930.359375
-3.7556643127,8.777207303,1639.96875
-10.3953117003,20.1902706181,169.3154296875
27.2205904649,13.2515343044,1369.3515625
-17.7363290341,13.4092345703,1613.4375
13.5804949815,1.2926147506,2291.203125
-2.7157181989,8.3960201435,2099.515625
18.2927259694,16.5106490254,1327.453125
-5.0077753662,-5.6648539187,3361.5
3.7335787465,-30.9638247469,38.4630126953
18.6030380353,0.7926127812,1869.8828125
-16.7188899592,10.0861095951,1323.046875
-15.6882321792,17.0286051257,1167.21875
18.0816165852,1.8700404557,1897.5859375
-22.7751442009,9.9088223312,927.359375
-20.6827460554,13.1532458738,1589.28125
6.6480375113,17.3658669962,1336.25
14.2078498803,9.5800019586,1951.6875
10.3678239927,-17.2603468975,1518.078125
9.9256411251,7.3767421459,2262.59375
20.9548006487,9.6905465008,1849.5625
-7.167640383,0.4744093078,2397.46875
-11.682296153,-6.5615432132,3253.71875
15.5072399024,-11.4031956602,2084.5625
4.5854797134,-8.7429982255,2033.03125
-2.3056737952,15.9381027119,1674.234375
-12.1077829902,18.4574228619,922.3671875
-19.3624236832,9.8970891622,1517.28125
-23.7231715573,1.1257912448,1348.734375
-2.7774684217,10.2494813872,1682.3125
-8.4957491015,13.305746648,1350.25
-1.9699691206,12.672773791,1470.3515625
-20.3769821873,3.9745463229,1841.265625
-17.0035625375,16.4065232074,1205.5
4.1602567314,19.7734819535,1253.90625
